model,roc_auc,average_precision,precision,recall,f1,mean_pr_auc,mean_recall,mean_fit_time
RandomForest,0.5396 ± 0.0227,0.0151 ± 0.0041,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.01509869576202275,0.0,7.756373023986816
GradientBoosting,0.5359 ± 0.0354,0.0145 ± 0.0032,0.0365 ± 0.0464,0.0082 ± 0.0112,0.0133 ± 0.0180,0.014534530338278322,0.008153310104529616,15.758341073989868
LogisticRegression,0.5275 ± 0.0309,0.0125 ± 0.0033,0.0094 ± 0.0016,0.4170 ± 0.0469,0.0184 ± 0.0031,0.012477400984634108,0.41697048257782876,0.47482852935791015
XGBoost,0.5019 ± 0.0174,0.0107 ± 0.0023,0.0140 ± 0.0101,0.0314 ± 0.0223,0.0193 ± 0.0139,0.010706291794192236,0.03136293116342527,2.8985257148742676
LightGBM,0.4954 ± 0.0222,0.0094 ± 0.0005,0.0174 ± 0.0172,0.0104 ± 0.0096,0.0129 ± 0.0122,0.009394730687075662,0.010359458386627265,4.12108736038208
